,id,text,query
37,1389483628409745409,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
38,1389483627994570752,"RT @AUTOMATONJapan: 【ニュース】SIEがDiscordに出資しパートナーシップを締結。2022年前半に、PlayStationプラットフォームにてDiscordが利用可能に
https://t.co/F2ciItHca8 https://t.co/oZbOL…",playstation 
39,1389483626308452354,"RT @RE_Games: Download the Resident Evil Village Demo today, available on PlayStation, Xbox, Steam and Stadia!

❤️ this tweet to get a remi…",playstation 
40,1389483624634875904,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
41,1389483620247609347,"RT @last_hoper_u: キミは見捨てられたんだ・・・
#apex

https://t.co/wtwbCCYn6Q https://t.co/RrJdWeGGUK",playstation 
42,1389483618339201031,"こんなの初めて／／／／／／／／／／／＃MW #mw #cod #COD  #PS4share

https://t.co/7gWBy95U5V https://t.co/XhwEoa2OJ7",playstation 
43,1389483609824837634,"RT @Chief117Br: Hoje!

Xbox: 
-FPS BOOST em quase 100 jogos no Xbox Series
- Mais jogos anunciados no Xbox Game Pass

Playstation:
- Uma pa…",playstation 
44,1389483605458571268,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
45,1389483605395660800,"@tchitchikov59 @AlfredLameche Surtout que c'est débile, en rien ça ne change les ventes de console Playstation, si tu veux une PlayStation, tu m'achètes, tu attends pas de savoir si  ya du crossplay sur des jeux tiers... 😔😔😔",playstation 
46,1389483604833673221,Sony announces investment and partnership with Discord to bring the chat app to PlayStation https://t.co/15X3Rq2IRm #startups,playstation 
47,1389483604384772106,"#PS4share
おそ

https://t.co/0QObx92oPV https://t.co/7qsPZbmSsu",playstation 
48,1389483603353128966,تحقق من البث الخاص بي من PlayStation 4! #PS4live (Minecraft)  live at https://t.co/NtdJzpyoxO,playstation 
49,1389483601461497856,"RT @YahooNewsTopics: 【ソニー PSNにDiscordを統合へ】
https://t.co/Mv2fMI6N34

ソニー・インタラクティブエンタテインメントは5月3日（米国時間）、チャットルームサービスを運営する米Discordとの提携により、「PlayS…",playstation 
50,1389483601071427585,https://t.co/mVsr8EAtzW https://t.co/T9XxDuvgDW,playstation 
51,1389483599842398209,@Pocholovitz @PlayStation Te lo he puesto por private,playstation 
52,1389483598546354177,"#PS4share

https://t.co/PHqdjs1pnn https://t.co/LZDl2aUjwz",playstation 
53,1389483596260417536,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
54,1389483595853705216,Microsoft fucked up https://t.co/CeqYvO3tg1,playstation 
55,1389483593370570758,Messaging app Discord ties up with Sony's PlayStation https://t.co/KFpcjGZkdl,playstation 
56,1389483593253244930,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
57,1389483591520997377,"#PS4share

https://t.co/knzFJmLapc https://t.co/E8fpcv2IMV",playstation 
58,1389483588090007553,"RT @InstantGamingEN: Sony invests in Discord, to integrate it with PlayStation in 2022

https://t.co/RXWIrRhidd
https://t.co/lz07MmpzEO htt…",playstation 
59,1389483583094538242,"RT @InstantGamingES: Sony invierte en Discord, para integrarlo en Playstation en 2022

https://t.co/YcDUG4Y8MH
https://t.co/fA7LEc1nwY http…",playstation 
60,1389483582419136514,"#APEXPS4share  一瞬だけ世界一のAimをてにいれた？！ヤバいと思った人はコメントとフォローしてくれたらありがたいです！

https://t.co/B0RXgl4Yqk https://t.co/0LYttThWL6",playstation 
61,1389483582352105474,"#PS4share

https://t.co/6E7raxmMxr https://t.co/6lsufExLWT",playstation 
62,1389483581878145025,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
